Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
C.DE CAPACITACION AGRARIA,CTRA.DE MIAJADAS, KM 2,DON BENITO,06400,BADAJOZ,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
Esc. Viticultura i Enolo. Mercè Rossell i Domènech,Barri d'Espiells,SANT SADURNI D'ANOIA,08770,BARCELONA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
Centro de Estudios Profesionales CEU - Jerez,Cruz Vieja, s/n. Palacio de Villapanés,JEREZ DE LA FRONTERA,11403,CÁDIZ,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
MONTEARAGÓN,CTRA. DE SARIÑENA,  KM. 4,HUESCA,22111,HUESCA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
d'Alfarràs,partida el Sot, s/n,ALFARRAS,25120,LLEIDA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
Mollerussa,ctra. Torregrossa km. 1,9,MOLLERUSSA,25230,LLEIDA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
del Solsonès,Finca s. Just,ctra.Manresa-Solsona,km 77,OLIUS,25286,LLEIDA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
de Tàrrega,av. Tarragona, s/n,TARREGA,25300,LLEIDA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
,CTRA. DE AGUILAS, KM. 2,LORCA,30800,MURCIA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
d'Amposta,av. Josep Tarradellas, 2-12,AMPOSTA,43870,TARRAGONA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
Mas Bové,Mas Bové,ct.Reus-Morell km.4(ap.cor.527),CONSTANTI,43120,TARRAGONA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Empresas Agropecuarias
ESCUELA FAMILIAR AGRARIA GUADALJUCEN,ESTACION ALJUCEN, S/N,MERIDA,06800,BADAJOZ,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
